Word 1,Word 2,Cosine Similarity
admission,ticket,0.5671575410323468
alcohol,chemistry,0.8045903215495042
aluminum,metal,0.7974463701280717
announcement,effort,0.4623365306329023
announcement,news,0.9350532931383523
announcement,production,0.7403853468858397
announcement,warning,0.9157266215300515
architecture,century,0.3307952469498953
arrangement,accommodation,0.09542357936290717
arrival,hotel,0.7467366495474278
asylum,madhouse,2.2672228209986992e-05
atmosphere,landscape,0.9394567744832851
attempt,peace,0.42732340639245114
baby,mother,0.6613712548604703
bank,money,0.7407711128212108
baseball,season,0.7405627304417685
bed,closet,0.9207804014903263
bird,cock,0.4229145579038911
bird,crane,0.5572465868744139
bishop,rabbi,0.7529714041780402
board,recommendation,0.9301694126096207
book,library,0.9304307137900729
book,paper,0.9470191128541936
boy,lad,0.7258093621302414
bread,butter,0.8009588735663183
brother,monk,0.4280965053878423
calculation,computation,0.3871633996297165
canyon,landscape,0.7916139297730276
car,automobile,0.8426304881265567
car,flight,0.7685996856265846
cell,phone,0.8648507521600358
cemetery,woodland,0.0013146704608983373
century,nation,0.9552865015860982
century,year,0.8803215877089466
championship,tournament,0.8259648434889253
chance,credibility,0.36986266440149684
change,attitude,0.8886259317124915
chord,smile,0.6843980510492004
closet,clothes,0.6761305457312792
coast,forest,0.9276905214997619
coast,hill,0.9450235075145389
coast,shore,0.9374934930957982
company,stock,0.9611033982273962
competition,price,0.9123555131056693
computer,keyboard,0.7776281653228938
computer,laboratory,0.7017566987398356
computer,news,0.8585946284135021
concert,virtuoso,0.6210274998868306
consumer,confidence,0.7414429234591173
consumer,energy,0.8744256750535112
country,citizen,0.8343609383268391
crane,implement,0.08801308557385452
credit,card,0.6835829466890385
credit,information,0.8843740465369517
cup,article,0.6904187037262258
cup,coffee,0.7441507868027275
cup,drink,0.7232887210675819
cup,entity,0.5555977504512676
cup,food,0.7167904764632124
cup,liquid,0.7059424257068185
cup,object,0.7319418962894643
cup,substance,0.8318391812184028
currency,market,0.8666766137069035
day,dawn,0.8345474260373705
day,summer,0.9123627363568639
death,inmate,0.09303153935305114
death,row,0.7427152861355281
decoration,valor,0.3513729398022754
delay,news,0.7991772535592465
deployment,departure,0.6245781034516374
deployment,withdrawal,0.9014352531897256
development,issue,0.8277314122015549
direction,combination,0.7506836690213179
disability,death,0.22475337463964914
disaster,area,0.8650126619505007
discovery,space,0.8905060297649545
dividend,calculation,0.3798641647635365
dividend,payment,0.5309934135476249
doctor,liability,0.45423553766038166
doctor,nurse,0.6264489816809131
doctor,personnel,0.6905471339849647
dollar,buck,0.7341732249371106
dollar,loss,0.7677319256104704
dollar,profit,0.8278514966143182
dollar,yen,0.5251202225542175
drink,car,0.56471695692095
drink,ear,0.6533591686554768
drink,eat,0.508277670099641
drink,mother,0.6043364034103897
drink,mouth,0.4526076394554335
drug,abuse,0.7603472223203214
energy,crisis,0.8900340145761894
energy,laboratory,0.8623227699273373
energy,secretary,0.932914018168242
equipment,maker,0.7306443385779491
exhibit,memorabilia,0.03114834273734301
experience,music,0.9026282071537556
family,planning,0.8930915058755691
fertility,egg,0.5415987509141431
fighting,defeating,0.299980201136224
five,month,0.6312305222938385
focus,life,0.8184709599876473
food,fruit,0.8721070254046507
food,preparation,0.9110870137449094
food,rooster,0.26123508514177224
football,basketball,0.5937646075690561
football,soccer,0.6247883634165814
football,tennis,0.5317101956787029
forest,graveyard,0.7392164371604657
fuck,sex,0.4450948405396674
furnace,stove,0.8856783254962919
game,defeat,0.7353027284689401
game,round,0.9347450554910526
game,series,0.7173833844963815
game,team,0.9505212525033258
game,victory,0.88842257822251
gem,jewel,0.09960378952597974
gender,equality,0.5014795562471925
glass,magician,0.5276494470098292
glass,metal,0.9005019026473584
government,crisis,0.960030806836246
governor,interview,0.7864774272077087
governor,office,0.9264192925941884
grocery,money,0.6556774446797152
holy,sex,0.7909980062101271
hotel,reservation,0.9008938115908111
hundred,percent,0.5521368272136989
image,surface,0.8940559619667152
impartiality,interest,0.42262927142967516
investigation,effort,0.5516448787152545
investor,earning,0.10331537744668515
jaguar,car,0.7853858004568177
jaguar,cat,0.6898684797118341
journal,association,0.8916174227147196
journey,car,0.8525776474154083
journey,voyage,0.7920936461578286
king,cabbage,0.6736245606277311
king,queen,0.9594483527825098
lad,brother,0.3470082064747186
lad,wizard,0.5749154819988886
law,lawyer,0.5861591786884409
lawyer,evidence,0.4595905515251439
liability,insurance,0.7073668689719859
life,death,0.9617956194427217
life,lesson,0.6762927659764947
life,term,0.7150184888082267
line,insurance,0.6859538083611147
liquid,water,0.9109120287350634
listing,category,0.8229877068127572
listing,proximity,0.8416814010243535
lobster,food,0.14518824629917276
lobster,wine,0.33145285405024005
love,sex,0.8147918001361729
lover,quarrel,0.45226091769587295
luxury,car,0.8271276571981008
magician,wizard,0.15297321905837674
man,governor,0.7385491582557641
man,woman,0.9755295972433586
media,gain,0.5310252357405967
media,radio,0.5922575706863249
media,trading,0.5327819179687667
midday,noon,0.30348744713484976
mile,kilometer,0.5299230788760574
minister,party,0.9490302769233991
ministry,culture,0.8683589095836105
minority,peace,0.7687530202818942
money,bank,0.7407711128212108
money,cash,0.8842911389441379
money,cash,0.8842911389441379
